id,common_name,parking_charge,parking_position,np,ep,description
seoulyeouidosupercharger,서울 - 여의도 수퍼 차저 IFC 몰 & 콘래드 서울 호텔,"초기무료: 30분
기본요금: 10분 1,000원
추가요금: 10분당 1,000원
일주차: 최대 45,000원","지하 7층 (#64기등)",5,0,"1만원이상 구매시 1시간 무료(영수증 합산 안 됨)
3만원이상 구매시 2시간 무료
5만원이상 구매시 3시간 무료
10만원이상 구매시 4시간 무료
푸드앰파이어 - 3만원 이상 구매시 1시간 무료
영풍문고 3만원 이상 구매시 주중 2시간 무료
주차할인 제외매장(더바디샵, 마시모두띠, 망고, 맥도날드, 버쉬카, 스트라)

OneIFC건물 말고 TwoIFC 건물로 진입하면 1층 -> 5층 직통"
seoulgangnamsupercharger,서울 - 강남 수퍼 차저 그랜드 인터컨티넨탈 서울 파르나스,"초기무료: 없음 (회차시 20분 무료)
기본요금: 30분 4,500원
추가요금: 10분당 1,500원
일주차: 70,000원",지하 4층,5,0,"호텔1층 그랜드델리 2만원 구입 시 2시간 무료
코엑스몰 식당 할인 X
업체가 번호 입력하는 방식
진입시 좌측 호텔쪽 말고 우측 타워쪽으로 진입해야 편합니다."
gangnnamsupercharger,서울 - 압구정 수퍼 차저 안다즈 서울 강남,"초기무료: 없음 (회차시 20분 무료)
기본요금: 30분 4,000원
추가요금: 10분당 2,000원","지하 4층 (27번기둥)",3,1,"20분 회차 시간 무료
주차장진입시 방향틀지말고 계속 따라
내려가서 두 갈래 갈림길에서 왼쪽으로 틀어
들어가면 됨"
seouljamsilsupercharger,서울 - 잠실 수퍼 차저 롯데월드타워,"초기무료: 없음
기본요금: 10분 500원, 20시~익일10시 10분 200원
추가요금: 10분당 500원, 20시~익일10시 10분당 200원
일주차: 45,000원",지하 3층,6,0,"주차요원에게 결제해야 할인, 문화시설 이외에는 주차권 미지급
시네마 · 아쿠아리움 · 뮤지엄 당일 티켓 소지자 : 10분당 200원 (최대 4시간까지, 초과분은 기본 요금 체계 적용)
콘서트홀 당일 티켓 소지자 : 4시간에 4,800원 (정액제, 초과분은 기본 요금 체계 적용)"
seoulyongsansupercharger,서울 - 용산 수퍼 차저 그랜드 하얏트,"초기무료: 없음 (회차시 15분 무료)
기본요금: 4,000원
추가요금: 10분당 2,000원
일주차: 투숙객 10,000원 기본 50,000원",지하 2층,4,0,1초라도 초과 시 4천원
seouljongnosupercharger,서울 - 종로 수퍼 차저 그랑서울,"초기무료: 없음 (회차시 10분 무료)
기본요금: 10분 1,000원
추가요금: 10분당 1,000원
주말 1시간 1,000원
일주차: 평일 40,000원
     주말/12시간 기준 5,000원",지하 6층,5,1,"까페, 편의시설 이용 시 1시간 무료
식당,청진상가 식당등 이용시 2시간 무료
두장 요구 가능
주말 5천원으로 하루 종일이 아니라 12시간만 무료"
seoulgangseosupercharger,서울 – 강서 수퍼 차저 롯데몰 김포공항점,"초기무료: 30분
기본요금: 30분 1,000원
추가요금: 30분당 1,000원
일주차: 25,000원",지하 1층,4,0,"GATE1 진입하면 게이트 바로 우측에 있음 (A15 기둥)
1만원 이상 구매시 1시간 무료
3만원 이상 구매시 2시간 무료
5만원 이상 구매시 3시간 무료
10만원 이상 구매시 6시간 무료
30만원 이상 구매시 12시간 무료"
seoulteheransupercharger,서울 – 테헤란 수퍼 차저 강남N타워,"초기무료: 없음
기본요금: 30분 3,000원
추가요금: 10분당 1,000원",지하 4층,4,0,"업장 이용시 2시간 무료
B4 구역 (이용업장에 할인권 문의)"
seongnampangyosupercharger,성남 판교 수퍼 차저 디테라스,"초기무료: 없음
기본요금: 20분 1,000원
추가요금: 20분당 1,000원",지상 4층,4,0,"평일 업체 이용시 1~2시간 무료, 휴일 업체 이용 시 무료"
suwonsupercharger,수원 수퍼 차저 롯데몰수원점,"초기무료: 30분
기본요금: 10분 500원
추가요금: 10분당 500원",지하 2층 (L1),4,0,"1만원 이상 구매시 1시간 무료
3만원 이상 구매시 2시간 무료
5만원 이상 구매시 3시간 무료
10만원 이상 구매시 4시간 무료
롯데시네마 티켓 제시 3시간 30분 무료

롯데백화점 애플리케이션 설치하면 한달에 3시간 무료쿠폰 2장 나옴."
goyangsupercharger,고양 수퍼 차저 엠블호텔 고양,"초기무료: 10분
기본요금: 10분 500원
추가요금: 10분당 500원",지하 3층,4,0,"스타벅스 이용시 1시간 무료
호텔 라운지 (죽림, 키친) 다이닝 이용시 3시간 무료
지하2층 엘리베이터 앞에 사전정산기에서 계산 후 출차"
bundangsupercharger,성남 – 분당 수퍼 차저 CGV스퀘어,"초기무료: 1시간 무료
기본요금: 10분 500원
추가요금: 10분당 500원",지하 4층 (143구역),6,0,"홈플러스 이용시 2시간 무료주차
CGV 이용 시 매표소 맞은편 주차인증 무인정산기에서 인증시 4시간 무료
(건물 기본 1시간 무료+CGV영화 티켓 3시간 무료)"
hanamsupercharger,하남 수퍼 차저 스타필드 하남,"주차요금: 무료",지상 4층 (12C),6,0,
songdoincheonsupercharger,송도 수퍼 차저 트리플스트리트,"주차요금: 무료",D동 지하 2층,4,0,
gapyeongsupercharger,가평 수퍼 차저 플렉스 스튜디오,"초기무료: 없음
기본요금: 30분 1,000원
추가요금: 10분당 500원",지상,6,0,"화장실은 닭장 옆 골목으로 진입하면 별도건물에 있음"
sokchogangwondosupercharger,속초 수퍼 차저 롯데리조트속초,"주차요금: 무료",지하 3층,3,1,
gangneungsupercharger,강릉 수퍼 차저 라카이샌드파인,"주차요금: 무료",지하 1층,4,2,
wonjusupercharger,원주 수퍼 차저 한솔오크밸리,"주차요금: 무료",지상,4,2,
cheonansupercharger,천안 수퍼 차저 대명리조트 천안,"주차요금: 무료",지상,4,2,
sintanjinsupercharger,신탄진 수퍼 차저 대덕패션타운,"주차요금: 무료",지상,5,1,국도 도로가 시속이 있는 관계로 맨 끝차선 서행 주행 필요
nonsansupercharger,논산 수퍼 차저 논산 라온빌리지,"주차요금: 무료",지상,4,2,"커피 및 다과류 카페가 있음. (팬션도 운영중)
라온가든 배추된장국 등 식사 가능.
010-8393-1348 번호로 사전문의 예약 후 방문추천."
dangjinsupercharger,당진 수퍼 차저 커피란 워시데이 당진점,"주차요금: 무료",지상,4,2,"커피란워시데이 (세차장 내에 있음/수차 독점 주차 아님)
커피 및 다과도 판매함"
daegusupercharger,대구 수퍼 차저 엑스코,"초기무료: 2시간
기본요금: 10분 300원
추가요금: 10분당 300원",신관 지하 1층,4,2,"진입 대기열이 긴 경우 주차 출입구 앞으로 주차후,
주차와 상관없이 테슬라 충전 하러 들어간다고 양해를 구하면 됨.
심야에는 차단기 내리므로 호출 버튼으로 개방 요청 가능. (053-601-5117)"
sangjusupercharger,상주 수퍼 차저 연꽃참한우,"주차요금: 무료",지상,4,2,"화장실 24시간 개방
(한우집 우측)"
busansupercharger,부산 수퍼 차저 파라다이스호텔 부산,"주차요금: 무료",지상,4,2,"야간에는 호출하여 테슬라 슈퍼차저 충전하러 왔다고 알려야 될수 있음"
busannamgusupercharger,부산 - 남구 수퍼 차저 IFC 부산,"초기무료: 30분
기본요금: 15분 1,000원
초과요금: 15분당 1,000원",지하 3층,4,0,"1만원이상 구매시 1시간무료
3만원이상 구매시 2시간무료
5만원이상 구매시 3시간무료
10만원이상 구매시 4시간무료"
busangangseosupercharger,부산 - 강서 수퍼 차저 쉼터,"주차요금: 한시적 무료",지상,6,0,
jinjusksupercharger,진주 수퍼 차저 롯데몰 진주점,"주차요금: 무료",지하 2층,4,2,"롯데마트 지하 2층 출구쪽 심야 개방요청 (055-791-2112)"
hamyangsupercharger,함양 수퍼 차저 타이어프로 함양IC점,"주차요금: 무료",지상,4,2,
gwangjusupercharger,광주 수퍼 차저 홀리데이인 광주호텔,"주차요금: 무료",지하 1층,5,1,
gunsansupercharger,군산 수퍼 차저 군산 GS 칼텍스 샛별 주유소,"주차요금: 무료",지상,6,2,
seogwiposupercharger,서귀포 수퍼 차저 롯데호텔 제주 호텔주차장,"초기무료: 1시간
기본요금: 1시간 2,000원
초과요금: 1시간당 2,000원",지상,11,1,"초과시 1시간 2천원"
sooncheonsupercharger,Sooncheon,coming soon,coming soon,0,0,
uijeongbusupercharger,Uijeongbu,coming soon,coming soon,0,0,
dongtansupercharger,Dongtan,coming soon,coming soon,0,0,
seoulseongsusupercharger,"Gangdong, Seoul",coming soon,coming soon,0,0,
id,common_name,parking_charge,parking_position,np,ep,description
dc27258,신세계백화점 영등포점,,,2,1,
dc26472,신세계 여주 프리미엄 아울렛,,,1,2,
dc26465,신세계백화점 강남점,,"지하 2층",2,1,
dc26466,신세계백화점 본점,,"VIP 발렛",2,1,
dc27196,렉스필드 CC,,,,,
dc27198,JW 메리어트 동대문 스퀘어 서울,,,,,
dc27202,엠블호텔 고양,,,1,1,"슈퍼차저 옆"
dc27314,한솔 오크밸리 - 스키장,,,,,
dc27319,GS 강서 N 타워,,,,,
dc28031,현대 호텔 울산,,,,,
dc28244,곤지암 리조트,,,,,
dc27266,씨에스 호텔 & 리조트,,,,,
dc27298,더 클라우드 호텔,,,,,
dc27811,핀크스 CC,,,,,
dc28101,임피리얼 팰리스 부티크 호텔 이태원,,,,,
dc27183,씨마크 호텔,,,,,
dc27187,그랜드 워커힐 서울,,,,,
dc27191,비스타 워커힐 서울,,,,,
dc27752,그랑서울,,,2,1,
dc27189,카카오 본사 (스페이스 닷원),,,,,
dc27262,아난티 클럽 서울,,,,,
dc27757,카카오 본사 신관 (스페이스 닷투),,,,,
dc27813,마이 알레,,,1,1,
dc27260,포도 호텔,,,,,
dc27261,디 아넥스 호텔,,,,,
dc27297,빌라드 애월,,,,,
dc27309,파크 하얏트 부산,,,,,
dc27312,그랜드 하얏트 인천 이스트타워,,,,,
dc28243,그랜드 하얏트 인천 웨스트타워,,,,,
dc27203,우영미 맨메이드 카페 & 쇼룸,,,,,
dc27207,JW 메리어트 서울,,,,,
dc27216,샌드파인 골프 클럽,,,,,
dc27210,임피리얼 팰리스 호텔 서울,,,,,
dc27215,라카이 샌드파인 리조트,,,,,
dc27310,파크 하얏트 서울,,,,,
dc27267,서원 밸리 CC,,,,,
dc27197,더 플라자 호텔,,,,,
dc27213,한국씨티은행 WM서울센터,,,,,
dc27303,트리플 스트리트 쇼핑몰 A동,,,1,1,
dc27803,신세계 이마트 광주점,,,,,
dc28874,와이스퀘어,,,,,
dc27190,판교 H스퀘어 (카카오 판교사옥),,"N동 24번 기둥",,,"주말 주차비 무료"
dc27195,포시즌스 호텔 서울,,,,,
dc27205,알로프트 서울 명동,,,,,
dc27208,갤러리아백화점 명품관 EAST,,,,,
dc27214,한국씨티은행 경인영업부,,,,,
dc27756,트리플 스트리트 쇼핑몰 D동 (메가박스 송도),,,2,1,
dc27800,신세계백화점 경기점,,,,,
dc27801,신세계백화점 의정부점,,,,,
dc27805,신세계백화점 마산점,,,,,
dc27809,자유 CC,,,,,
dc27810,트리니티 CC,,,,,
dc27812,제주 봄 카페 & 스테이,,,,,
dc28095,롯데호텔 제주,,,,,
dc28128,대구백화점 프라자점,,,,,
dc28832,신세계백화점 대구점,,"본관 지하 4층 I8",2,2,
dc28872,갤러리아백화점 명품관 WEST,,,,,
dc27219,쉐라톤 서울 디큐브시티 호텔,,,,,
dc27275,반얀트리 클럽 앤 스파 서울,,,,,
dc27874,르 메르디앙 서울 호텔,,,,,
dc27804,신세계백화점 충청점,,,1,2,
dc27815,이마트 성수점,,,1,2,
dc28505,이마트 죽전점,,"지상 3층",1,1,"오른쪽 출구 앞쪽"
dc27818,이마트 김해점,,"지상 3층 I-03구역",,,
dc28504,이마트 문현점,,,,,
dc27820,이마트 광교점,,"지상 3층",1,1,"직진"
dc27824,이마트 월배점,,,1,1,
dc27825,이마트 순천점,,,,,
dc27826,이마트 트레이더스 월평점,,,1,2,
dc28515,한화리조트 대천 파로스,,,,,
dc28909,한화 골든베이 골프 & 리조트,,,,,
dc27822,이마트 울산점,,,,,
dc28514,한화리조트 용인 베잔송,,,,,
dc28517,한화리조트 산정호수 안시,,,,,
dc27802,신세계백화점 센텀시티점,,"지하 2층 H4",,,
dc31919,간절곶 까르마레 펜션,,,,,
dc31929,진주 남강원,,,,,
dc28907,비콘힐스 골프클럽,,,,,
dc31461,KB캐피탈 본사 (동익성봉빌딩),,,,,
dc27318,GS 타워,,"지하 6층",,,
dc27808,부산 신세계 프리미엄 아울렛,,,,,
dc28910,한화 제이드가든,,,1,2,
dc27817,이마트타운 킨텍스점,,"지하 2층",1,1,"오른쪽 맨 끝"
dc28507,시흥 신세계 프리미엄 아울렛,,"주차타워 1층",1,1,"야외 말고 주차타워로 진입해야 합니다."
dc28513,한화리조트 설악 쏘라노,,,,,
dc28516,한화리조트 해운대 티볼리,,,,,
dc28751,힐튼 부산 & 아난티 코브,,,,,
dc31918,대명 소노펠리체 CC,,,,,
dc32154,대한리무진 (전주공항리무진터미널),,,1,1,
dc31922,롯데시티호텔 마포,,,,,
dc34668,목포 미르치과병원,,,,,
dc34670,대우건설 써밋 갤러리,,,,,
dc36119,비젠빌리지,,,,,
dc36120,클럽 인너,,,,,
dc36897,그리드위즈 연구동,,,,,
dc36122,메이필드 호텔,,,,,
dc37992,삼척 원더풀,,,,,
dc38175,신라스테이 광화문,,,,,
dc38176,신라스테이 해운대,,,,,
dc38178,신라스테이 울산,,,,,
dc38270,CU 청평대인점,,,1,1,
dc38271,CU 비봉프리미엄점,,,,,
dc38349,빕스 대방점,,,,,
dc38354,빕스 부산서면점,,,,,
dc38356,빕스 예술회관역점,,,,,
dc38357,빕스 계산점,,,,,
dc38358,빕스 죽전점,,,,,
dc38360,빕스 영통점,,,,,
dc38361,빕스 광주 충장로점,,,,,
dc38362,빕스 비산점,,,,,
dc41685,소설호텔,,,,,
dc41686,라이즈 오토그래프콜렉션 호텔,,,,,
dc39056,대명리조트 청송,,,,,
dc39058,대명쏠비치호텔&리조트 양양,,,,,
dc39062,엠블호텔 여수,,"1층",1,1,
dc39064,대명리조트 단양,,,,,
